43818,Tensile Properties of Plastics,Report No.,144,Test Date,2019-12-19 00:00:00,Testing Machine SSTM-5KN 0819533,Unnamed: 7,Operator,Taylor,Filament MFG,Crunchtech,Filament Type,PLA,Filament Color,Burgandy,Batch No.,032519-2,"Load Cell S/N (TVI122147), Units (Lbs )",1124,Crosshead Speed ( mm / min ) or Rate,5,Displacement Sensor,XHD-100  ( XHD-100 )
Label1,Label8,Label2,Label6,Label7,Label3,Label4,Label5,Text6,Text9,TESTNUM,SPEC_ID,RESULT1,RESULT2,RESULT3,RESULT4,RESULT5,RESULT6,RESULT7,RESULT8,COMMENTS,,,
,,,,,,,,,,570,URZEH,2245.74,51.89,2245.78,6.57,6.79,5.68,5.68,51.89,,,,
,,,,,,,,,,571,LBNM8,2296.81,53.35,2296.81,8.11,5.87,5.32,5.32,53.35,,,,
,,,,,,,,,,572,ZGMJS,2234.08,52.02,2234.31,6.6,5.93,5.67,5.68,52.02,,,,
,,,,,,,,,,573,8CZJ6,2229.3,52.26,2231.09,8.88,5.1,5.04,5.07,52.3,,,,
,,,,,,,,,,574,KLE5A,2279.81,53.06,2280.03,7.21,5.73,5.55,5.56,53.07,,,,
,,,,,,,,,,575,63WC8,2287.93,53.09,2288.08,9.09,5.3,5.19,5.19,53.1,,,,
,,,,,,,,,,576,YAK4Z,2302.96,53.89,2302.96,8.14,5.61,5.38,5.38,53.89,,,,
,,,,,,,,,,577,35RRG,2233.45,53.47,2233.45,8.62,6.82,5.34,5.34,53.47,,,,
,,,,,,,,,,578,2AV92,2230.69,53.61,2230.76,9.85,7.77,5.12,5.13,53.61,,,,
,,,,,,,,,,579,LX9WR,2257.01,53.98,2257.15,11.55,7.15,5.05,5.06,53.98,,,,
,,,,,,,,,,580,E7XVW,1592.71,38.69,1608.31,5.5,4.88,4.82,4.88,39.07,,,,
,,,,,,,,,,581,G3Q8Y,1306.86,31.77,1321.63,3.19,5.72,5.67,5.72,32.12,broke in vice grip ,,,
,,,,,,,,,,582,G7ZAR,1629.53,39.24,1641.42,5.98,4.86,4.8,4.86,39.53,,,,
,,,,,,,,,,583,KJAUU,944,23.44,955.99,5.59,3.67,3.61,3.67,23.73,,,,
,,,,,,,,,,584,WU5GX,767.84,18.73,778.56,17.58,1.7,1.65,1.7,18.99,,,,
