Specimen ID,Test #,Report #,Test Date,Operator,Material,Batch #,Yield (N),Yield Str. (MPa),Tensile (N),Modulus of Elasticity (MPa),Break Elong [mm],Yield Elong.  [mm],Tensile Elong [mm],Tensile Str. (MPa),Comments
SVA7P,500,138,2019-12-06 00:00:00,Taylor,3D Fuel_Tough PLA_Blue,04-17204-U200-1915,2048.2,45.49,2048.35,6.17,6.23,5.72,5.73,45.49,,
5ZB92,501,138,2019-12-06 00:00:00,Taylor,3D Fuel_Tough PLA_Blue,04-17204-U200-1915,2033.12,45.39,2033.12,5.65,6.59,6.06,6.06,45.39,,
Y35ZN,502,138,2019-12-06 00:00:00,Taylor,3D Fuel_Tough PLA_Blue,04-17204-U200-1915,1615.57,39.13,1615.69,5.55,5.25,5.07,5.08,39.14,broke near neck ,
MT5RQ,503,138,2019-12-06 00:00:00,Taylor,3D Fuel_Tough PLA_Blue,04-17204-U200-1915,1824.32,44.06,1824.52,4.51,6.72,6.51,6.52,44.06,,
7QRW3,504,138,2019-12-06 00:00:00,Taylor,3D Fuel_Tough PLA_Blue,04-17204-U200-1915,1703.3,41.46,1703.32,5.25,6.3,5.67,5.66,41.46,,
NDVJD,505,138,2019-12-06 00:00:00,Taylor,3D Fuel_Tough PLA_Blue,04-17204-U200-1915,1644.08,39.86,1644.17,5.15,5.65,5.42,5.42,39.87,broke near neck ,
5UDTM,506,138,2019-12-06 00:00:00,Taylor,3D Fuel_Tough PLA_Blue,04-17204-U200-1915,1876.67,44.91,1876.87,6.31,6.49,5.68,5.71,44.91,broke near neck ,
BQ5JH,507,138,2019-12-06 00:00:00,Taylor,3D Fuel_Tough PLA_Blue,04-17204-U200-1915,1885.07,44.85,1885.09,6.66,6.47,5.39,5.39,44.85,,
GB6B6,508,138,2019-12-06 00:00:00,Taylor,3D Fuel_Tough PLA_Blue,04-17204-U200-1915,1878.77,44.26,1878.81,6.65,6.8,5.42,5.45,44.26,,
TK44D,509,138,2019-12-06 00:00:00,Taylor,3D Fuel_Tough PLA_Blue,04-17204-U200-1915,1935.38,46.03,1935.53,5.26,6.98,6.04,6.05,46.04,,
